birdName,birdCode,conservationStatus,normalName,populationTrend
Aix galericulata,AG,LC,Mandarin Duck,
Alcedo atthis,AA,LC,Common Kingfisher,
Amaurornis phoenicurus,AP,LC,White-breasted Waterhen,
Anas acuta,AC,LC,Northern Pintail,
Anas falcata,AL,NT,Falcated Duck,Decreasing
Anas formosa,AR,LC,Baikal Teal,Increasing
Ardea intermedia,AI,LC,Intermediate Egret,Decreasing
Ardeola bacchus,AB,LC,Chinese Pond-heron,Stable
Asio flammeus,AF,LC,Short-eared Owl,Decreasing
Asio otus,AO,LC,Northern Long-eared Owl,Decreasing
Aythya ferina,AE,VU,Common Pochard,Decreasing
Aythya fuligula,AU,LC,Tufted Duck,Stable
Bubo bubo,BB,LC,Eurasian Eagle-owl,Decreasing
Calonectris leucomelas,CL,NT,Streaked Shearwater,Decreasing
Ciconia nigra,CN,LC,Black Stork,
Corvus corone,CO,LC,Carrion Crow,Increasing
Cygnus columbianus,CC,LC,Tundra Swan,
Egretta garzetta,EG,LC,Little Egret,Increasing
Gallicrex cinerea,GC,LC,Watercock,Decreasing
Gavia stellata,GS,LC,Red-throated Loon,Decreasing
Grus grus,GG,LC,Common Crane,Increasing
Grus japonensis,GJ,EN,Red-crowned Crane,Decreasing
Grus vipio,GV,VU,White-naped Crane,Decreasing
Halcyon pileata,HP,LC,Black-capped Kingfisher,Decreasing
Ixobrychus eurhythmus,LE,LC,Schrenck's Bittern,Decreasing
Larus argentatus,LA,LC,European Herring Gull,Decreasing
Larus canus,LC,LC,Mew Gull,
Larus ridibundus,LR,LC,Black-headed Gull,
Megaceryle lugubris,ML,LC,Crested Kingfisher,Decreasing
Mergus albellus,MA,LC,Smew,
Mergus merganser,MM,LC,Goosander,
Numenius madagascariensis,NM,EN,Far Eastern Curlew,Decreasing
Nycticorax nycticorax,NN,LC,Black-crowned Night-heron,Decreasing
Pelecanus crispus,PC,NT,Dalmatian Pelican,Decreasing
Phalacrocorax carbo,PA,LC,Great Cormorant,Increasing
Phasianus colchicus,PO,LC,Common Pheasant,Decreasing
Pica pica,PP,LC,Eurasian Magpie,Stable
Platalea leucorodia,PL,LC,Eurasian Spoonbill,
Podiceps cristatus,PR,LC,Great Crested Grebe,
Podiceps nigricollis,PN,LC,Black-necked Grebe,
Spheniscus demersus,SD,EN,African Penguin,Decreasing
Synthliboramphus antiquus,SA,LC,Ancient Murrelet,Decreasing
Tachybaptus ruficollis,TR,LC,Little Grebe,Decreasing
Tadorna ferruginea,TF,LC,Ruddy Shelduck,